POSTCODE,Land Area (Sq. Meters),Land Area (Sq. Miles),Land Area (Sq. Kilometers)
10001,"1,609,400",1,2
10002,"2,277,670",1,2
10003,"1,493,000",1,1
10004,"1,449,740",1,1
10005,"190,416",0,0
10006,"237,784",0,0
10007,"423,358",0,0
10009,"1,596,980",1,2
10010,"1,011,820",0,1
10011,"1,705,240",1,2
10012,"837,301",0,1
10013,"1,430,440",1,1
10014,"1,474,950",1,1
10016,"1,378,330",1,1
10017,"829,152",0,1
10018,"833,392",0,1
10019,"1,761,260",1,2
10020,"71,560",0,0
10021,"1,002,600",0,1
10022,"1,130,200",0,1
10023,"1,270,410",0,1
10024,"2,221,830",1,2
10025,"1,946,720",1,2
10026,"860,745",0,1
10027,"2,257,090",1,2
10028,"813,698",0,1
10029,"2,136,940",1,2
10030,"722,465",0,1
10031,"1,685,540",1,2
10032,"1,702,840",1,2
10033,"1,565,760",1,2
10034,"2,917,180",1,3
10035,"3,616,220",1,4
10036,"1,148,110",0,1
10037,"683,722",0,1
10038,"770,757",0,1
10039,"1,199,360",0,1
10040,"976,162",0,1
10044,"625,938",0,1
10065,"1,000,540",0,1
10069,"269,802",0,0
10075,"477,958",0,0
10103,"24,776",0,0
10110,"26,711",0,0
10111,"9,576",0,0
10112,"15,253",0,0
10115,"6,618",0,0
10119,"42,613",0,0
10128,"1,219,020",0,1
10152,"12,423",0,0
10153,"12,281",0,0
10154,"12,382",0,0
10162,"29,442",0,0
10165,"13,058",0,0
10167,"12,396",0,0
10168,"13,211",0,0
10169,"9,924",0,0
10170,"24,921",0,0
10171,"12,470",0,0
10172,"12,415",0,0
10173,"12,297",0,0
10174,"13,224",0,0
10177,"5,421",0,0
10199,"66,729",0,0
10271,"6,779",0,0
10278,"33,630",0,0
10279,"10,805",0,0
10280,"358,650",0,0
10282,"226,578",0,0
10301,"9,476,760",4,9
10302,"3,093,430",1,3
10303,"8,125,460",3,8
10304,"10,035,700",4,10
10305,"11,012,000",4,11
10306,"19,355,200",7,19
10307,"5,082,130",2,5
10308,"5,110,510",2,5
10309,"17,402,200",7,17
10310,"4,650,150",2,5
10311,"122,886",0,0
10312,"19,887,900",8,20
10314,"35,520,700",14,36
10451,"2,628,490",1,3
10452,"2,550,150",1,3
10453,"2,372,410",1,2
10454,"2,699,700",1,3
10455,"1,844,520",1,2
10456,"2,637,790",1,3
10457,"2,748,730",1,3
10458,"2,613,250",1,3
10459,"2,115,930",1,2
10460,"3,407,080",1,3
10461,"6,215,150",2,6
10462,"3,833,090",1,4
10463,"3,745,410",1,4
10464,"9,070,630",4,9
10465,"8,882,830",3,9
10466,"5,227,060",2,5
10467,"6,035,760",2,6
10468,"2,784,850",1,3
10469,"6,414,680",2,6
10470,"3,689,950",1,4
10471,"6,687,170",3,7
10472,"2,720,840",1,3
10473,"5,645,600",2,6
10474,"3,970,900",2,4
10475,"4,463,110",2,4
11001,"5,775,030",2,6
11003,"10,723,300",4,11
11004,"2,460,790",1,2
11005,"472,584",0,0
11040,"12,388,400",5,12
11101,"6,773,850",3,7
11102,"2,092,160",1,2
11103,"1,841,680",1,2
11104,"1,010,090",0,1
11105,"4,226,730",2,4
11106,"2,219,780",1,2
11109,"103,922",0,0
11201,"3,680,350",1,4
11203,"5,557,080",2,6
11204,"4,115,360",2,4
11205,"2,459,480",1,2
11206,"3,715,220",1,4
11207,"6,917,450",3,7
11208,"8,951,520",3,9
11209,"5,599,870",2,6
11210,"4,250,380",2,4
11211,"5,952,760",2,6
11212,"3,983,220",2,4
11213,"2,825,710",1,3
11214,"5,658,760",2,6
11215,"5,641,350",2,6
11216,"2,422,750",1,2
11217,"1,944,330",1,2
11218,"3,699,260",1,4
11219,"3,838,520",1,4
11220,"4,639,240",2,5
11221,"3,582,800",1,4
11222,"3,947,640",2,4
11223,"5,372,270",2,5
11224,"3,999,170",2,4
11225,"2,289,250",1,2
11226,"3,339,500",1,3
11228,"3,807,130",1,4
11229,"5,611,290",2,6
11230,"4,765,010",2,5
11231,"3,683,320",1,4
11232,"3,323,380",1,3
11233,"3,491,030",1,3
11234,"19,547,800",8,20
11235,"5,816,300",2,6
11236,"9,311,390",4,9
11237,"2,537,580",1,3
11238,"2,863,620",1,3
11239,"1,477,970",1,1
11351,"7,592",0,0
11354,"5,612,650",2,6
11355,"4,493,720",2,4
11356,"4,069,870",2,4
11357,"7,256,740",3,7
11358,"5,048,950",2,5
11359,"636,668",0,1
11360,"3,691,090",1,4
11361,"4,553,960",2,5
11362,"6,518,630",3,7
11363,"2,249,600",1,2
11364,"6,386,920",2,6
11365,"6,466,310",2,6
11366,"2,835,020",1,3
11367,"6,162,140",2,6
11368,"6,816,710",3,7
11369,"2,765,090",1,3
11370,"3,684,370",1,4
11371,"2,602,750",1,3
11372,"1,909,990",1,2
11373,"3,956,010",2,4
11374,"2,419,930",1,2
11375,"5,129,160",2,5
11377,"6,595,690",3,7
11378,"6,614,590",3,7
11379,"5,372,960",2,5
11385,"9,357,000",4,9
11411,"3,027,440",1,3
11412,"4,264,330",2,4
11413,"8,028,310",3,8
11414,"5,956,110",2,6
11415,"1,471,500",1,1
11416,"1,724,070",1,2
11417,"2,898,290",1,3
11418,"4,229,580",2,4
11419,"2,924,900",1,3
11420,"5,382,010",2,5
11421,"3,336,080",1,3
11422,"5,098,420",2,5
11423,"3,654,230",1,4
11424,"87,271",0,0
11425,"98,802",0,0
11426,"3,493,970",1,3
11427,"4,082,590",2,4
11428,"2,156,480",1,2
11429,"3,369,770",1,3
11430,"18,434,900",7,18
11432,"5,566,220",2,6
11433,"4,019,550",2,4
11434,"8,388,460",3,8
11435,"3,922,760",2,4
11436,"2,040,480",1,2
11451,"91,974",0,0
11691,"7,339,460",3,7
11692,"2,586,420",1,3
11693,"2,582,600",1,3
11694,"3,537,000",1,4
11697,"5,749,270",2,6
